title,category,first_sentence
Women in Unión General de Trabajadores in Francoist Spain,topic,"Women in Unión General de Trabajadores (UGT) in Francoist Spain played important roles in the union dating back to the Second Republic period, even as their specific needs like maternity leave, childcare provisions and equal pay were subverted for the improvement of better overall working conditions. Women UGT leaders in the Civil War period included María Lacrampe and Claudina García Perez."
Women in Uruguay,topic,"Women in Uruguay are women who live in or are from the country. Their status has changed significantly throughout its history, and legislation aimed at advancing women’s rights began to be enacted in the early twentieth century."
Women in Uzbekistan,topic,"Women in Uzbekistan are subject to restrictions imposed by local tradition, religion and social norms."
Women in Vanuatu,topic,"Women in Vanuatu are women who live in or are from Vanuatu. This includes their education, healthcare, political, and economic information."
Women in Vatican City,topic,"Women account for approximately 5.5% of the citizenry of Vatican City. According to the Herald Sun in March 2011, there were only 32 females out of 572 citizens issued with Vatican passports and one of them was a nun."
Women in Venezuela,topic,"Women in Venezuela have historically played asymmetrical roles in society compared to men. In modern times, Venezuela still faces important challenges related to discrimination, unequal political representation, lack of access to adequate health services and child care, and sex violence."
Women in Vietnam,topic,"The role of women in Vietnam was subject to many changes throughout the history of Vietnam. They have taken on varying roles in society, and the country has seen a number of advances in women's rights, such as an increase in female representation in government, as well as the creation of the Vietnam Women's Union in 1930."
Women in WWE,topic,"Throughout its history, women have served in various onscreen roles in the American professional wrestling promotion WWE. In the 1990s, WWE (then known as the World Wrestling Federation) introduced the term Diva to refer to its female performers, including wrestlers, managers or valets, backstage interviewers, or ring announcers.

At WrestleMania 32 in 2016, WWE announced their discontinuation of the ""Diva"" branding for its female performers, as part of a move to present them in an athletic manner more in line with their male counterparts, rather than in a means based around sex appeal."
Women in War,film,"Women in War is a 1940 American war film about the nurses of the British Voluntary Aid Detachment during the Battle of France. Directed by John H. Auer and starring Wendy Barrie, Elsie Janis and Patric Knowles, it was nominated for an Oscar for Best Visual Effects (Howard Lydecker, William Bradford, Ellis J. Thackery, Herbert Norsch)."
Women in World History,topic,"Women in World History: A Biographical Encyclopedia is a 16-volume reference work of biographies of notable women. It includes biographies of around 10,000 women, and also includes genealogical charts of noble families and some joint entries about multiple women (such as ""Astronauts: Women in Space"")."
Women in World War I,topic,Women in World War I were mobilized in unprecedented numbers on all sides. The vast majority of these women were drafted into the civilian work force to replace conscripted men or to work in greatly expanded munitions factories.
Women in World War II,topic,"Women took on many different roles during World War II, including as combatants and workers on the home front. The war involved global conflict on an unprecedented scale; the absolute urgency of mobilizing the entire population made the expansion of the role of women inevitable, although the particular roles varied from country."
Women in Yemen,topic,"Women in Yemen suffer from gender-based discrimination due to the highly patriarchal character of Yemeni society.
Although the government of Yemen has made efforts to improve the rights of women (including the formation of a Women's Development Strategy and a Women Health Development Strategy), many cultural and religious norms stand in the way of equal rights for women."
Women in Zambia,topic,"The status of women in Zambia has improved in recent years. Among other things, the maternal mortality rate has dropped and the National Assembly of Zambia has enacted multiple policies aimed at decreasing violence against women."
Women in Zoroastrianism,topic,"Zoroastrianism has since its inception recognized total spiritual equality between women and men. The spiritual founder of Zoroastrianism, the eponymous Zoroaster, explicitly addressed both men and women, and affirmed that individuals of either gender could be righteous and could achieve salvation, an apparent innovation compared to the preceding polytheistic Iranian faiths."
Women in a Celtic Church,topic,"Women in a Celtic Church: Ireland 450–1150 is a historical study of the role of women in the religious institutions of Early Medieval Ireland written by the American academic Christina Harrington, it was first published by Oxford University Press in 2002."
Women in agriculture in Afghanistan,topic,Women's roles in agriculture in Afghanistan have been shaped by the cultural landscape of the country. Women comprise nearly half of the farming and agricultural workforce in Afghanistan.
Women in agriculture in China,topic,"Women in agriculture in the People's Republic of China make up a diverse group of women who support agricultural activities in their country. The experiences of rural women in China vary significantly by region, with a variety of economic strategies derived from local conditions and family structures."
Women in agriculture in India,topic,"India has an economy bound to historical agricultural tradition. In the North, the Indus valley and Brahmaputra region are critical agricultural areas with water supplied by the Ganges and monsoon season."
Women in agriculture in Japan,topic,"Women have always been active in agriculture in Japan. Women farmers have, throughout Japan's history, outnumbered male farmers."
Women in agriculture in the United Kingdom,topic,"Women were historically rarely farm owners in agriculture in the United Kingdom, but the number who own or lease farms is rising rapidly in the 21st century; by 2013 there were 25,000.
A 2014 survey by Farmers Weekly showed that 59% of women felt that agriculture was at least as good as other industries in equal opportunities for women."
Women in ancient Egypt,topic,"Women in ancient Egypt had some special rights other women did not have in other comparable societies. They could own property and were, at court, legally equal to men."
Women in ancient Rome,topic,"In ancient Rome, freeborn women were citizens (cives), but could not vote or hold political office. Because of their limited public role, women are named less frequently than men by Roman historians."
Women in ancient Sparta,topic,"Spartan women were famous in ancient Greece for seemingly having more freedom than women elsewhere in the Greek world.  To contemporaries outside of Sparta, Spartan women had a reputation for promiscuity and controlling their husbands."
Women in ancient and imperial China,topic,"Women in ancient and Imperial China were restricted from participating in various realms of social life, through social stipulations that they remain indoors, whilst outside business should be conducted by men. The strict division of the sexes, apparent in the policy that ""men plow, women weave"" (Chinese: 男耕女織), partitioned male and female histories as early as the Zhou dynasty, with the Rites of Zhou (written at the end of the Warring States Period), even stipulating that women be educated specifically in ""women's rites"" (Chinese: 陰禮; pinyin: yīnlǐ)."
Women in ancient warfare,topic,The role of women in ancient warfare differed from culture to culture. There have been various historical accounts of females participating in battle.
Women in archaeology,topic,"Women in archaeology is an aspect of the history of archaeology and the topic of women in science more generally. In the nineteenth century women were discouraged from pursuing interests in archaeology, however throughout the twentieth century participation and recognition of expertise increased."
Women in architecture,topic,"Women in architecture have been documented for many centuries, as professional, non-licensed, (or amateur) practitioners, educators and clients. Since architecture became organized as a profession in 1857, the number of women in architecture has been low."
Women in art,disambiguation,Women in art may refer to:
Women in aviation,topic,"Women have been involved in aviation from the beginnings of both lighter-than air travel and as airplanes, helicopters and space travel were developed. Women pilots were also formerly called ""aviatrices"" (singular ""aviatrix"")."
Women in baseball,topic,"Women have a long history in American baseball and many women's teams have existed over the years. Baseball was played at women's colleges in New York and New England as early as the mid-nineteenth century; teams were formed at Vassar College, Smith College, Wellesley College, and Mount Holyoke College."
Women in brewing,topic,"Women have been active in brewing since ancient times. From the earliest evidence of brewing in 7000 BCE, until the commercialization of brewing during industrialization, women were  the primary brewers on all inhabited continents."
Women in business,topic,"The phrase women in business refers to female businesspeople who hold positions, particularly leadership in the fields of commerce, business, and entrepreneurship. It advocates for their increased participation in business."
Women in chemistry,topic,This is a list of women chemists. It should include those who have been important to the development or practice of chemistry.
Women in chess,topic,"Women represent a small minority of chess players at all ages and levels. Female chess players today generally compete in a mix of open tournaments and women's tournaments, the latter of which are most prominent at or near the top level of women's chess and at youth levels."
Women in classical Athens,topic,The study of the lives of women in classical Athens has been a significant part of classical scholarship since the 1970s. The knowledge of Athenian women's lives comes from a variety of ancient sources.
Women in classical music,topic,"Women are active in all aspects of classical music, such as instrumental performance, vocal performance, orchestral conducting, choral conducting, scholarly research, and contemporary composition. However, proportionately to men, their representation and recognition -especially at higher levels- falls a long way below their numbers."
Women in climate change,topic,"The contributions of women in climate change have received increasing attention in the early 21st century. Feedback from women and the issues faced by women have been described as ""imperative"" by the United Nations and ""critical"" by the Population Reference Bureau."
Women in combat,topic,Women in combat refers to female military personnel assigned to combat positions. The role of women in the military has varied across the world's major countries throughout history with several views for and against women in combat.
Women in comedy,topic,"The phrase ""Women in comedy"" refers both to women who participate in the creation of comedic works as well as the social experience of women within the industry. Comedy, or creative works with the intention of humor, is thought to have originated in ancient Greek theatre in 425 BCE. While primarily dominated by men throughout history, the field of comedy has represented women since at least the mid-1700s."
Women in comics,disambiguation,Women in comics may refer to:
Women in computing,topic,"Women in computing were among the first programmers in the early 20th century, and contributed substantially to the industry. As technology and practices altered, the role of women as programmers has changed, and the recorded history of the field has downplayed their achievements."
Women in computing in Canada,topic,"Many in Canada share concerns about the current and future roles of women in computing, especially as these occupations increase in importance. As in many nations where computing and information technology are large industries, women in Canada have historically faced underrepresentation in education and industry."
Women in conservatism in the United States,topic,"Women in conservatism in the United States have advocated for social, political, economic, and cultural conservative policies going as far back as the anti-suffragism movement of the 1860s. Conservative women's political action frequently takes an anti-feminist stance; and debate around women’s role in society frequently dictates political action taken by conservative women."
Women in cooperatives,organization,"A cooperative (""co-op"") is an autonomous association of persons who voluntarily cooperate for their mutual, social, economic, and cultural benefit through a mutually owned and democratically run enterprise. Cooperatives include non-profit community organizations and businesses that are owned and managed by the people who use their services (consumer cooperatives) or by the people who work there (worker cooperatives) and  take on a variety of forms, ranging from officially registered cooperatives to loosely organized groups of neighbors, family, and kin networks."
Women in dance,topic,"The important place of women in dance can be traced back to the origins of civilization. Cave paintings, Egyptian frescos, Indian statuettes, ancient Greek and Roman art and records of court traditions in China and Japan all testify to the important role women played in ritual and religious dancing from the start."
Women in death care in the United States,topic,Women have had varying roles in the death care industry in the United States since its mid-nineteenth century inception.
Women in dentistry,topic,There is a long history of women in dentistry. Women are depicted as assistant dentists in the Middle Ages.
Women in dentistry in the United States,topic,There is a long history of women in dentistry in the United States.
Women in development,topic,"Women in development is an approach of development projects that emerged in the 1960s, calling for treatment of women's issues in development projects. It is the integration of women into the global economies by improving their status and assisting in total development."
Women in documentary film,topic,"Women in documentary film describes the role of women as directors, writers, performers, producers, and other film industry professions. According to a 2017 study by San Diego University's Center for the Study of Women in Television and Film, women make up around thirty percent of the population of people working in the documentary film industry, worldwide."
Women in early modern Scotland,topic,"Women in early modern Scotland, between the Renaissance of the early sixteenth century and the beginnings of industrialisation in the mid-eighteenth century, were part of a patriarchal society, though the enforcement of this social order was not absolute in all aspects. Women retained their family surnames at marriage and did not join their husband's kin groups."
Women in early radio,topic,"Although they often faced obstacles and policy limitations, beginning in the early 1900s a few women were able to participate in the pioneering development of radio communication."
Women in economics,topic,"Women are under-represented in the economics profession worldwide.  This has wide social and material implications, as economists work in banks and government, and have a direct role in policy making."
Women in education in Ethiopia,topic,"Women role in the education of Ethiopia remains progressive over time. Over the last 20 years, the national government made an effort to comfort equitable opportunities for females in public education."
Women in engineering,topic,"Women are often under-represented in the academic and professional fields of engineering; however, many women have contributed to the diverse fields of engineering historically and currently. A number of organizations and programs have been created to understand and overcome this tradition of gender disparity."
Women in engineering in the United States,topic,"Historically, women in the United States have been represented at lower rates than men in both science and engineering college programs and careers. Over time, this pattern has led to a significantly higher concentration of male professional engineers compared to women."
Women in equestrianism,topic,"The place of women in equestrianism has undergone significant societal evolution. Until the 20th century, in most Eurasian and North African countries, and later in North and South America, the horse was primarily a symbol of military and masculine prowess, associated with men for both warfare and daily labor."
Women in exile during Francoist Spain,topic,Women in exile during Francoist Spain were a result of their being on the wrong side during the Spanish Civil War. The repression behind nationalist lines during the war and the immediate years that followed left many politically active women with few choices but to leave or face death.
Women in film,topic,
Women in firefighting,topic,"The role of women in firefighting has been subject to significant changes over the years; many ancient civilizations had firefighting groups which accepted women, but by the advent of organized firefighting in the 18th century, gender roles had changed such that firefighting was considered an unsuitable profession for women. Despite this, many women continued to work informally in firefighting roles, and in parts of the world were able to break into organized fire departments, especially during times of war."
Women in geology,topic,"Women in geology concerns the history and contributions of women to the field of geology. There has been a long history of women in the field, but they have tended to be under-represented."
Women in government,topic,"In many countries, women have been underrepresented in the government and different institutions. As of 2019, women were still underrepresented in most countries, but were increasingly being elected to be heads of state and government."
Women in governments of Israel,topic,"Since the founding of the State of Israel, relatively few women have served in the Israeli government, and fewer still have served in the leading ministerial offices. While Israel is one of a small number of countries where a woman—Golda Meir—has served as Prime Minister, it is behind most Western countries in the representation of women in both the parliament and government."
Women in heraldry,topic,"Due to the differing role of women in past society, special rules grew relating to the blazoning of arms for women. The rules for women and heraldry developed differently from place to place and there is no one single rule that applies everywhere."
Women in hip-hop in South Africa,topic,"Since the early 1980s, South African hip-hop has grown significantly as both a musical and social movement. It started in the Cape Flats area of Cape Town in the early 1980s."
Women in international law,topic,"International law is a series of verbal agreements and written contracts between nations that govern how those nations interact with one another. ""Public"" international law includes human rights both in conflict situations and post-conflict reconstruction."
Women in jazz,topic,"Women in jazz have contributed throughout the many eras of jazz history, both as performers and as composers, songwriters and bandleaders. While women such as Billie Holiday and Ella Fitzgerald were famous for their jazz singing, women have achieved much less recognition for their contributions as composers, bandleaders and instrumental performers."
Women in journalism,topic,"Women in journalism are individuals who participate in journalism. As journalism became a profession, women were restricted by custom from access to journalism occupations, and faced significant discrimination within the profession."
Women in labor unions,topic,"Women in labor unions have participated in labor organizing and activity throughout United States history. These workers have organized to address issues within the workplace, such as promoting gender equality, better working conditions, and higher wages."
Women in law,topic,"Women in law describes the role played by women in the legal profession and related occupations, which includes lawyers (also called barristers, advocates, solicitors, attorneys or legal counselors), paralegals, prosecutors (also called District Attorneys or Crown Prosecutors), judges, legal scholars (including feminist legal theorists), law professors and law school deans."
Women in law enforcement,topic,"The integration of women into law enforcement positions can be considered a large social change. Within industrialized nations in the early 1900s, there were few jobs open to women in law enforcement; however, timelines vary for developing nations."
Women in law in Canada,topic,"Women work in the legal profession and related occupations throughout Canada, as lawyers (also called barristers, attorneys or legal counselors), prosecutors, judges, legal scholars, law professors and law school deans. In Canada, while 37.1% of lawyers are women, ""50% ...said they felt their [law] firms were doing ""poorly"" or ""very poorly"" in their provision of flexible work arrangements""."
Women in law in Japan,topic,"Women in law in Japan work in the legal profession as lawyers. Women lawyers work in private practice, in-house, in government, and in the citizenship sector."
Women in law in the United Kingdom,topic,"Prior to the 20th century, there were few women in law in the United Kingdom. Prior to the Sex Disqualification (Removal) Act 1919, women were not permitted to practice law in the United Kingdom."
Women in media,topic,Women in media are individuals who participate in media. Media are the collective communication outlets or tools used to store and deliver information or data.
Women in medical philanthropy in California,topic,"There are women in medical philanthropy in California. California houses well-known medical research facilities, such as the University of California, San Francisco and the Stanford University School of Medicine, which require donors to support their research, and some of these donors are women."
Women in medicine,topic,"The presence of women in medicine, particularly in the practicing fields of surgery and as physicians, has been traced to the earliest of history. Women have historically had lower participation levels in medical fields compared to men with occupancy rates varying by race, socioeconomic status, and geography."
Women in medieval Scotland,organization,"Women in medieval Scotland includes all aspects of the lives and status of women between the departure of the Romans from North Britain in the fifth century to the introduction of the Renaissance and Reformation in the early sixteenth century. Medieval Scotland was a patriarchal society, but how exactly patriarchy worked in practice is difficult to discern."
Women in modern pre-Second Republic Spain,topic,"Women in modern pre-Second Republic Spain were marginalized by society, with very few legal rights.  Pre-1900s, the most important feminists were in Spain were Teresa Claramunt and Teresa Mañe, who drew inspiration from foreign feminists."
Women in music,topic,"Women in music have occupied many roles in the art over the centuries and have been responsible for a multitude of contributions, shaping movements, genres, and trends as singers, songwriters, composers, instrumental performers, and educators, and in behind-the-scenes roles. At the same time, however, many roles in music have been closed to or not encouraged for women."
Women in music (disambiguation),topic,"Women in music refers to the role of women as composers, songwriters, instrumental performers, singers, conductors, music scholars, music educators, music critics/music journalists and other musical professions.
Women in music may also refer to:

Women in Music (periodical), an American newsletter founded in July 1935
Billboard Women in Music, an annual event held by Billboard
International Alliance for Women in Music, an international membership organization of women and men
Women in Music Pt."
Women in music education,topic,"Women in music education describes the role of women musicians, conductors, teachers and educational administrators in music education at the elementary school and secondary education levels."
Women in musicology,topic,"Women in musicology describes the role of women professors, scholars and researchers in postsecondary education musicology departments at postsecondary education institutions, including universities, colleges and music conservatories. Traditionally, the vast majority of major musicologists and music historians have been men."
Women in nursing,topic,"Historically, women have made up a large majority of the profession and academic discipline of nursing. Women's nursing roles include both caring for patients and making sure that the wards and equipment are clean."
Women in peacekeeping,topic,"Women have regularly participated in global peacekeeping efforts, including through the United Nations. Although participation greatly increased in the last decade of the 20th century and the first two decades of 21st century, women remained significantly underrepresented in peacekeeping operations in 2023."
Women in pharmacy,topic,"Women have served widely as pharmacists. However, as with women in many jobs, women in pharmacy have been restricted."
Women in philosophy,topic,"Women have made significant contributions to philosophy throughout the history of the discipline. Ancient examples of female philosophers include Maitreyi (1000 BCE), Gargi Vachaknavi (700 BCE), Hipparchia of Maroneia (active c. 325 BCE) and Arete of Cyrene (active 5th–4th centuries BCE)."
Women in physics,topic,This article discusses women who have made an important contribution to the field of physics.
Women in piracy,topic,"Although the majority of pirates in history have been men, there are around a hundred known examples of female pirates, about four of whom were active in the Golden Age of Piracy. Some women have been pirate captains and some have commanded entire pirate fleets."
Women in policing in the United Kingdom,topic,"Women began working as police officers in the United Kingdom as early as December 1915 amidst the First World War. As with other countries, police forces in the UK were entirely male at the start of the 20th century."
Women in policing in the United States,topic,Women began working as police officers in the United States as early as the 1890s. Women made up 12.6% of all U.S. sworn police officers in 2018.
Women in politics in France,topic,"The place of women in politics in France has evolved over the centuries. While in the Middle Ages, many of them had access to certain important functions and exercised power, their status changed under the Ancien Régime: the laws surrounding the succession of the children of Philip IV condemned women de jure and de facto to a non-political role."
Women in positions of power,topic,"Women in positions of power are women who hold an occupation that gives them great authority, influence, and/or responsibility in government or in businesses.  Historically, power has been distributed unequally."
Women in post-classical warfare,topic,"A variety of roles were played by women in post-classical warfare. Only women active in direct warfare, such as warriors, spies, and women who actively led armies are included in this list."
Women in pre-Islamic Arabia,topic,There is very scarce information regarding women in pre-Islamic Arabia.
Women in prehistory,topic,"A large amount of research on prehistory has been dedicated to the role of women in prehistoric society. Tasks typically undertaken by women are thought to have formed a major sexual division of labor in relation to child-rearing, gathering, and other everyday occupations."
Women in print movement,topic,"The women in print movement (WIP) was an international effort by second-wave feminists to establish alternative communications networks created by and for women. The movement encouraged women to write and publish their works in feminist periodicals which were edited by women, printed by feminist presses, and distributed by informal networks and feminist bookstores."
Women in punk rock,topic,"Women have made significant contributions to punk rock music and its subculture since its inception in the 1970s. In contrast to the rock music and heavy metal scenes of the 1970s, which were dominated by men, the anarchic, counter-cultural mindset of the punk scene in mid-and-late 1970s encouraged women to participate."
Women in refrigerators,topic,"""Women in refrigerators"" is a term coined by Gail Simone in 1999 to describe a literary trope which involves female characters facing disproportionate harm, such as death, maiming, or assault, to serve as plot devices to motivate male characters, an event colloquially known as ""fridging"". Simone's original list of over 100 affected female characters, published on the ""Women in Refrigerators"" website, sparked discussions on sexism in pop culture and the comic-book industry."
Women in rock,topic,"Women in rock describes the role of women singers, instrumentalists, record producers and other music professionals in rock, popular music and the many subgenres and hybrid genres that have emerged each decade. Women have had a high prominence in many popular music styles as singers, helping shape modern music and embracing more authenticity in their sound."
Women in science,topic,"The presence of women in science spans the earliest times of the history of science wherein they have made substantial contributions. Historians with an interest in gender and science have researched the scientific endeavors and accomplishments of women, the barriers they have faced, and the strategies implemented to have their work peer-reviewed and accepted in major scientific journals and other publications."
Women in science (disambiguation),topic,Women in science refers to the contributions of women to the field of science.
Women in space,topic,"Women have flown and worked in outer space from the beginning of human spaceflight. Overall women have been significantly less often chosen to go to space than men, and in June 2020, constituted only 12% of all astronauts who had been to space."
Women in space (disambiguation),topic,Women in space have flown and worked in outer space.
Women in speculative fiction,topic,"There are several aspects to the roles of women in speculative fiction, including their participation as authors of speculative fiction and their role in speculative fiction fandom.
Speculative fiction, especially science fiction, has traditionally been viewed as a male-oriented genre."
Women in state legislative assemblies of Malaysia,topic,This article is an overview of representation of women in Malaysia's state legislative assemblies.
Women in telegraphy,topic,"Women in telegraphy have been evident since the 1840s. The introduction of practical systems of telegraphy in the 1840s led to the creation of a new occupational category, the telegrapher, telegraphist or telegraph operator."
Women in the 14th Canadian Parliament,topic,"The 14th Canadian Parliament was the first Canadian parliament where a woman sat as a member. Women first became eligible to hold seats in the Canadian House of Commons on July 7, 1919."
Women in the 15th Canadian Parliament,topic,"During the 15th Canadian Parliament, there was no change in representation by women. Four women ran for seats in the Canadian House of Commons in the 1925 federal election but Agnes Macphail, first elected in 1921, continued to be the only woman elected."
Women in the 16th Canadian Parliament,topic,"During the 16th Canadian Parliament, women sat as members for the first time in both the House of Commons and the Senate. Two women ran for seats in the Canadian House of Commons in the 1926 federal election but Agnes Macphail, first elected in 1921, continued to be the only woman elected."
Women in the 17th Canadian Parliament,topic,"During the 17th Canadian Parliament, the number of sitting women senators increased. Ten women ran for seats in the Canadian House of Commons in the 1930 federal election but Agnes Macphail, first elected in 1921, continued to be the only woman elected."
Women in the 18th Canadian Parliament,topic,"During the 18th Canadian Parliament, two women sat in the House of Commons for the first time. Sixteen women ran for seats in the Canadian House of Commons in the 1935 federal election."
Women in the 19th Canadian Parliament,topic,"During the 19th Canadian Parliament, for the first time, a woman sat as a member of the party holding the majority in the House of Commons. Nine women ran for seats in the Canadian House of Commons in the 1940 federal election."
Women in the 20th Canadian Parliament,topic,"During the 20th Canadian Parliament, women continued to sit as members of both the House of Commons and the Senate. Nineteen women ran for seats in the Canadian House of Commons in the 1945 federal election."
Women in the 21st Canadian Parliament,topic,"During the 21st Canadian Parliament, the number of sitting women senators increased. Eleven women ran for seats in the Canadian House of Commons in the 1949 federal election; none were elected."
Women in the 22nd Canadian Parliament,topic,The number of women sitting in the House of Commons increased to a new maximum during the 22nd Canadian Parliament; the number of women senators also increased. 47 women ran for seats in the Canadian House of Commons in the 1953 federal election; four were elected.
Women in the 23rd Canadian Parliament,topic,The number of women sitting in the House of Commons decreased to two during the 23rd Canadian Parliament; the number of women senators remained at five. 29 women ran for seats in the Canadian House of Commons in the 1957 federal election.
Women in the 24th Canadian Parliament,topic,The number of women sitting in the House of Commons increased to five during the 24th Canadian Parliament; the number of women senators increased to seven. 21 women ran for seats in the Canadian House of Commons in the 1958 federal election; the two women incumbents were reelected.
Women in the 25th Canadian Parliament,topic,The number of women sitting in the House of Commons remained at five during the 25th Canadian Parliament; the number of women senators remained at six. 26 women ran for seats in the Canadian House of Commons in the 1962 federal election; four women out of five incumbents were reelected.
Women in the 26th Canadian Parliament,topic,The number of women sitting in the House of Commons increased to six during the 26th Canadian Parliament; the number of women senators remained at six. 40 women ran for seats in the Canadian House of Commons in the 1963 federal election; two women out of five incumbents were reelected.
Women in the 27th Canadian Parliament,topic,The number of women sitting in the House of Commons decreased to four during the 27th Canadian Parliament; the number of women senators returned to six. 37 women ran for seats in the Canadian House of Commons in the 1965 federal election; three women out of six incumbents were reelected.
Women in the 28th–32nd Canadian Parliaments,topic,"Women were first allowed to vote at the federal level in Canada in the 1917 general election in connection with military service, and were allowed to vote under the same conditions as men beginning on May 24, 1918. The next four elections saw only one woman elected: Agnes Macphail."
Women in the 39th Canadian Parliament,topic,"Upon the dissolution of the 39th Canadian Parliament, 65 of the 308 seats (21.1 per cent) were held by women. Canada ranks 45th in the world in representation of women in the national lower house."
Women in the 40th Canadian Parliament,topic,"The 40th Canadian Parliament contained a record number of female Members of Parliament, with 69 women elected to the House of Commons of Canada in the 2008 federal election. However, this represented just 22 per cent of the 308 total MPs, and only a modest gain over the 65 women in the 39th Canadian Parliament."
Women in the 41st Canadian Parliament,topic,"The 41st Canadian Parliament includes a record number of female Members of Parliament, with 76 women elected to the House of Commons of Canada in the 2011 election. This represents a gain of seven seats over the previous record of 69 women in the 40th Canadian Parliament."
Women in the 42nd Canadian Parliament,topic,"The 42nd Canadian Parliament includes a record number of female Members of Parliament, with 88 women elected to the 338-member House of Commons of Canada (26%) in the 2015 election. This represents a gain of twelve seats over the previous record of 76 women in the 41st Canadian Parliament."
Women in the 43rd Canadian Parliament,topic,"The 43rd Canadian Parliament once again set a record number of female Members of Parliament, with 98 women elected to the 338-member House of Commons of Canada (28.9%) in the 2019 election. Of those 98 women, 31 were elected for the first time in the 2019 election."
Women in the 44th Canadian Parliament,topic,"The 44th Canadian Parliament includes a record number of female Members of Parliament, with 103 women elected to the 338-member House of Commons of Canada (30.5%) in the 2021 election. Of those 103 women, 22 were elected for the first time in the 2021 election."
Women in the 45th Canadian Parliament,topic,"The 45th Canadian Parliament has a record number of women Members of Parliament, with 106 women elected to the 343-member House of Commons of Canada (31.0%), 104 of them in the 2021 election, followed by two more in subsequent 2026 by-elections. Due to six more seats the number of women as a percentage is slightly down."
Women in the Algerian War,topic,Women fulfilled a number of different functions during the Algerian War (1954–1962). The majority of Muslim women who became active participants did so on the side of the National Liberation Front (FLN).
Women in the American Revolution,topic,"Women in the American Revolution played various roles depending on their social status, race and political views.
The American Revolutionary War took place as a result of increasing tensions between Great Britain and the Thirteen Colonies."
Women in the Americas,topic,"Women in the Americas are women who were born in, who live in, and are from the Americas, a regional area which encompasses the Caribbean region, Central America or Middle America, North America and South America. Their evolution, culture and history coincide with the history of the Americas, though often the experiences of women were different than those of male members of society."
Women in the Arab Spring,topic,"Women played a variety of roles in the Arab Spring, but its impact on women and their rights is unclear. The Arab Spring was a series of demonstrations, protests, and civil wars against authoritarian regimes that started in Tunisia and spread to much of the Arab world."
Women in the Arab world,topic,"Women in the Arab world have played different and changing roles, depending on the time period, the regional area, and their social status. Differences in history, tradition, social structure and religion in different Arab countries have also largely reflected on the role of women within them."
Women in the Australian House of Representatives,topic,There have been 174 women in the Australian House of Representatives since the establishment of the Parliament of Australia. Women have had the right to both vote and sit in parliament since 1902.
Women in the Australian Senate,topic,"There have been 127 women in the Australian Senate since the establishment of the Parliament of Australia. Women have had the right to stand for federal parliament since 1902, and there were three female candidates for the Senate at the 1903 federal election (Vida Goldstein, Nellie Martel, and Mary Moore-Bentley)."
Women in the Australian military,topic,Women currently make up 19.2% of the ADF workforce. Women have served in Australian armed forces since 1899.
Women in the Bangladesh Police,topic,"Women joined the Bangladesh Police for the first time in 1974, when 14 women were appointed in the Special Branch: seven were at the rank of Sub-Inspector, and seven were at the rank of Constable. The first female uniformed police members were recruited two years later, in 1976, when 15 women were appointed in the Dhaka Metropolitan Police."
Women in the Bangladesh military,topic,"Women have been members of the Bangladeshi military since the early part of the 2000s as officers. On 30 May 2016, the Bangladesh Navy got female sailors for the first time in its history."
Women in the Basque Nationalist Party in Francoist Spain,topic,"Women in the Basque Nationalist Party in Francoist Spain were involved in leadership positions from an early period. The Basque Nationalist Party (PNV) was founded prior to the Second Spanish Republic in Bilbao, as a conservative Roman Catholic organization."
Women in the Bengali language movement,topic,"Women played an important role in the Bengali language movement. During the movement that demanded that Bengali should be made as one of the state languages, female students stood beside their male counterparts as equals."
Women in the Bible,topic,"Women in the Bible include wives, mothers and daughters, servants, slaves and prostitutes. As both victors and victims, some women in the Bible change the course of important events while others are powerless to affect even their own destinies."
Women in the Brazilian Congress,topic,"The National Brazilian Congress has a bicameral system, with the Chamber of Deputies and the Federal Senate. Women are extremely underrepresented in both parts of the Congress."
Women in the British Virgin Islands,topic,"Women in the British Virgin Islands are women who were born in, who live in, and are from the British Virgin Islands, a British overseas territory located in the Caribbean. According to Countries and Their Culture, women of the British Virgin Islands are characteristically with ""strong independent and entrepreneurial spirit""."
Women in the Byzantine Empire,topic,"The situation of women in the Byzantine Empire is a subject of scientific research that encompasses all available information about women, their environments, their networks, their legal status, etc., in the Byzantine Empire.
This field of study experiences debates within it on various important questions."
Women in the California gold rush,topic,"Women in the California gold rush initially included Indigenous women and those of Spanish descent, known as Californios, who already resided in California. As news of the gold rush spread, women worldwide soon migrated to California with their families or for financial prospects."
Women in the Caribbean,topic,"Women in the Caribbean are women who were born in, who live in, or are from the region of the Caribbean in the Americas. Historically, Caribbean women have been significant contributors to the economy and the ""domestic sphere"" of the Caribbean region since the time of slavery, during the time of ""free labor forces"" in the late 19th and 20th centuries, as well as during the time of ""contemporary politics"" and economics."
Women in the Catholic Church,topic,"Women play significant roles in the life of the Catholic Church, although excluded from the Catholic hierarchy of bishops, priests, and deacons. In the history of the Catholic Church, the church often influenced social attitudes toward women."
Women in the Cocos (Keeling) Islands,topic,"The women in Cocos (Keeling) Islands are the female residents of Cocos (Keeling) Islands, a dependency of Australia that can be found in the Indian Ocean.  The first known settlers arrived on the islands in 1826."
